"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"TH-Reel // Mehr dazu",2025-12-06,not_delivering,ad,"NEUBAUTEAM // Osterstraße // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,59,60,,-,-,-,1.2,,20,1.01694915,2025-12-06,2025-12-06
"Carousel 1 // Mehr dazu",2026-01-25,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,26,33,,-,-,-,1.19,,36.06060606,1.26923077,2026-01-25,2026-01-25
"Carousel 1 // Mehr dazu",2025-12-03,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,58,59,,-,-,-,1.16,,19.66101695,1.01724138,2025-12-03,2025-12-03
"Carousel 1 // Mehr dazu",2025-12-02,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,50,53,,-,-,-,1.16,,21.88679245,1.06,2025-12-02,2025-12-02
"Carousel 1 // Mehr dazu",2025-12-22,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,84,92,,-,-,-,1.11,,12.06521739,1.0952381,2025-12-22,2025-12-22
"Single Image 2 // Mehr dazu",2026-01-07,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,101,118,,-,-,-,1.1,,9.3220339,1.16831683,2026-01-07,2026-01-07
"Carousel 1 // Mehr dazu",2025-11-29,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,31,32,,-,-,-,1.09,,34.0625,1.03225806,2025-11-29,2025-11-29
"Single Image 2 // Mehr dazu",2026-01-09,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,69,87,,-,-,-,1.06,,12.18390805,1.26086957,2026-01-09,2026-01-09
"SCN-Reel // Mehr dazu",2026-01-16,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,79,90,,-,-,-,1.06,,11.77777778,1.13924051,2026-01-16,2026-01-16
"Single Image 2 // Mehr dazu",2026-01-26,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,133,140,,-,-,-,1.03,,7.35714286,1.05263158,2026-01-26,2026-01-26
"Carousel 1 // Mehr dazu",2025-12-05,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,46,51,,-,-,-,1.03,,20.19607843,1.10869565,2025-12-05,2025-12-05
"Carousel 1 // Mehr dazu",2026-01-12,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,60,69,,-,-,-,0.95,,13.76811594,1.15,2026-01-12,2026-01-12
"TH-Reel // Mehr dazu",2025-12-03,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",1,38,40,0.93,-,-,-,0.93,2.5,23.25,1.05263158,2025-12-03,2025-12-03
"SCN-Reel // Mehr dazu",2026-01-12,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,98,110,,-,-,-,0.9,,8.18181818,1.12244898,2026-01-12,2026-01-12
"Carousel 1 // Mehr dazu",2025-12-23,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,74,86,,-,-,-,0.89,,10.34883721,1.16216216,2025-12-23,2025-12-23
"Carousel 1 // Mehr dazu",2025-12-12,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,34,36,,-,-,-,0.86,,23.88888889,1.05882353,2025-12-12,2025-12-12
"TH-Reel // Mehr dazu",2025-12-10,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,41,43,,-,-,-,0.83,,19.30232558,1.04878049,2025-12-10,2025-12-10
